company_id,company,valuation,year_founded,date_joined,industry,city,country,continent,funding,investors,years_to_unicorn,latitude,longitude
10001,Bytedance,180000000000,2012-01-01,2017-04-07,Artificial intelligence,Beijing,China,Asia,8000000000,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",5,40.190632,116.412144
10002,SpaceX,100000000000,2002-01-01,2012-12-01,Other,Hawthorne,United States,North America,7000000000,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",10,33.9128272,-118.3426122
10003,SHEIN,100000000000,2008-01-01,2018-07-03,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2000000000,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",10,22.5445741,114.0545429
10004,Stripe,95000000000,2010-01-01,2014-01-23,Fintech,San Francisco,United States,North America,2000000000,"Khosla Ventures, LowercaseCapital, capitalG",4,37.7879363,-122.4075201
10005,Klarna,46000000000,2005-01-01,2011-12-12,Fintech,Stockholm,Sweden,Europe,4000000000,"Institutional Venture Partners, Sequoia Capital, General Atlantic",6,59.3251172,18.0710935
10006,Canva,40000000000,2012-01-01,2018-01-08,Internet software & services,Surry Hills,Australia,Oceania,572000000,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",6,-33.8845123,151.2100301
10007,Checkout.com,40000000000,2012-01-01,2019-05-02,Fintech,London,United Kingdom,Europe,2000000000,"Tiger Global Management, Insight Partners, DST Global",7,51.5074456,-0.1277653
10008,Instacart,39000000000,2012-01-01,2014-12-30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,3000000000,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",2,37.7879363,-122.4075201
10009,JUUL Labs,38000000000,2015-01-01,2017-12-20,Consumer & retail,San Francisco,United States,North America,14000000000,Tiger Global Management,2,37.7879363,-122.4075201
10010,Databricks,38000000000,2013-01-01,2019-02-05,Data management & analytics,San Francisco,United States,North America,3000000000,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",6,37.7879363,-122.4075201
10011,Revolut,33000000000,2015-01-01,2018-04-26,Fintech,London,United Kingdom,Europe,2000000000,"index Ventures, DST Global, Ribbit Capital",3,51.5074456,-0.1277653
10012,Epic Games,32000000000,1991-01-01,2018-10-26,Other,Cary,United States,North America,7000000000,"Tencent Holdings, KKR, Smash Ventures",27,35.7882893,-78.7812081
10013,FTX,32000000000,2018-01-01,2021-07-20,Fintech,Nassau,Bahamas,North America,2000000000,"Sequoia Capital, Thoma Bravo, Softbank",3,25.0782266,-77.3383438
10014,Fanatics,27000000000,2002-01-01,2012-06-06,E-commerce & direct-to-consumer,Jacksonville,United States,North America,4000000000,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",10,30.3262247,-81.6579179
10015,Chime,25000000000,2013-01-01,2019-03-05,Fintech,San Francisco,United States,North America,2000000000,"Forerunner Ventures, Crosslink Capital, Homebrew",6,37.7879363,-122.4075201
10016,BYJU's,22000000000,2008-01-01,2017-07-25,Edtech,Bengaluru,India,Asia,4000000000,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",9,12.9767936,77.590082
10017,J&T Express,20000000000,2015-01-01,2021-04-07,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,5000000000,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",6,-6.1754049,106.827168
10018,Xiaohongshu,20000000000,2013-01-01,2016-03-31,E-commerce & direct-to-consumer,Shanghai,China,Asia,918000000,"GGV Capital, ZhenFund, Tencent",3,31.2312707,121.4700152
10019,Miro,18000000000,2011-01-01,2022-01-05,Internet software & services,San Francisco,United States,North America,476000000,"Accel, AltaIR Capital, Technology Crossover Ventures",11,37.7879363,-122.4075201
10020,Yuanfudao,17000000000,2012-01-01,2017-05-31,Edtech,Beijing,China,Asia,4000000000,"Tencent Holdings, Warbug Pincus, IDG Capital",5,40.190632,116.412144
10021,Rapyd,15000000000,2016-01-01,2019-12-03,Fintech,London,United Kingdom,Europe,770000000,"Target Global, General Catalyst, Durable Capital Partners",3,51.5074456,-0.1277653
10022,Discord,15000000000,2012-01-01,2018-04-20,Internet software & services,San Francisco,United States,North America,979000000,"Benchmark, Greylock Partners, Tencent Holdings",6,37.7879363,-122.4075201
10023,Genki Forest,15000000000,2016-01-01,2020-03-01,Consumer & retail,Beijing,China,Asia,721000000,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",4,40.190632,116.412144
10024,goPuff,15000000000,2013-01-01,2020-10-08,E-commerce & direct-to-consumer,Philadelphia,United States,North America,3000000000,"Accel, Softbank Group, Anthos Capital",7,39.9527237,-75.1635262
10025,Blockchain.com,14000000000,2011-01-01,2021-02-17,Fintech,London,United Kingdom,Europe,490000000,"Lightspeed Venture Partners, Google Ventures, Lakestar",10,51.5074456,-0.1277653
10026,Plaid,13000000000,2012-01-01,2018-12-11,Fintech,San Francisco,United States,North America,734000000,"New Enterprise Associates, Spar Capital, Index Ventures",6,37.7879363,-122.4075201
10027,Devoted Health,13000000000,2017-01-01,2018-10-16,Health,Waltham,United States,North America,2000000000,"Andreessen Horowitz, F-Prime Capital, Venrock",1,42.3762385,-71.2355644
10028,OpenSea,13000000000,2017-01-01,2021-07-20,E-commerce & direct-to-consumer,New York,United States,North America,427000000,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",4,40.7127281,-74.0060152
10029,Grammarly,13000000000,2009-01-01,2019-10-10,Internet software & services,San Francisco,United States,North America,400000000,"General Catalyst, Institutional Venture Partners, Breyer Capital",10,37.7879363,-122.4075201
10030,Argo AI,12000000000,2016-01-01,2019-07-12,Artificial intelligence,Pittsburgh,United States,North America,4000000000,"Volkswagen Group, Ford Autonomous Vehicles",3,40.4406968,-80.0025666
10031,Northvolt,12000000000,2016-01-01,2019-06-12,Other,Stockholm,Sweden,Europe,4000000000,"Vattenfall, Volkswagen Group, Goldman Sachs",3,59.3251172,18.0710935
10032,Faire,12000000000,2017-01-01,2019-10-30,Artificial intelligence,San Francisco,United States,North America,1000000000,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",2,37.7879363,-122.4075201
10033,Airtable,12000000000,2013-01-01,2018-11-15,Internet software & services,San Francisco,United States,North America,1000000000,"Caffeinated Capital, CRV, Founder Collective",5,37.7879363,-122.4075201
10034,Brex,12000000000,2017-01-01,2018-10-05,Fintech,San Francisco,United States,North America,1000000000,"DST Global, Ribbit Capital, Greenoaks Capital Management",1,37.7879363,-122.4075201
10035,Getir,12000000000,2015-01-01,2021-03-26,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2000000000,"Tiger Global Management, Sequoia Capital, Revo Capital",6,41.006381,28.9758715
10036,Biosplice Therapeutics,12000000000,2008-01-01,2018-08-06,Health,San Diego,United States,North America,799000000,"Vickers Venture Partners, IKEA GreenTech",10,32.7174202,-117.162772
10037,Bitmain,12000000000,2015-01-01,2018-07-06,Hardware,Beijing,China,Asia,765000000,"Coatue Management, Sequoia Capital China, IDG Capital",3,40.190632,116.412144
10038,GoodLeap,12000000000,2003-01-01,2021-10-13,Internet software & services,Roseville,United States,North America,800000000,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",18,38.7521235,-121.2880059
10039,Xingsheng Selected,12000000000,2009-01-01,2020-07-22,E-commerce & direct-to-consumer,Changsha,China,Asia,5000000000,"KKR, Tencent Holdings, Sequoia Capital China",11,28.1987538,112.9708685
10040,ZongMu Technology,11000000000,2013-01-01,2021-06-03,Auto & transportation,Shanghai,China,Asia,376000000,"LTW Capital, Legend Capital, Qualcomm Ventures",8,31.2312707,121.4700152
10041,Bolt,11000000000,2013-01-01,2018-05-29,Auto & transportation,Tallinn,Estonia,Europe,1000000000,"Didi Chuxing, Diamler, TMT Investments",5,59.4372419,24.7572802
10042,Swiggy,11000000000,2014-01-01,2018-06-21,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,5000000000,"Accel India, SAIF Partners, Norwest Venture Partners",4,12.9767936,77.590082
10043,Weilong Foods,11000000000,1999-01-01,2021-05-08,Consumer & retail,Luohe,China,Asia,558000000,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital",22,33.571189,114.0289356
10044,Global Switch,11000000000,1998-01-01,2016-12-22,Hardware,London,United Kingdom,Europe,5000000000,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",18,51.5074456,-0.1277653
10045,Bolt,11000000000,2014-01-01,2021-10-08,Fintech,San Francisco,United States,North America,1000000000,"Activant Capital, Tribe Capital, General Atlantic",7,37.7879363,-122.4075201
10046,Celonis,11000000000,2011-01-01,2018-06-26,Data management & analytics,Munich,Germany,Europe,1000000000,"Accel, 83North",7,48.1371079,11.5753822
10047,Zuoyebang,10000000000,2014-01-01,2018-07-18,Edtech,Beijing,China,Asia,3000000000,"Sequoia Capital China, Xiang He Capital, GGV Capital",4,40.190632,116.412144
10048,Ripple,10000000000,2012-01-01,2019-12-20,Fintech,San Francisco,United States,North America,294000000,"IDG Capital, Venture51, Lightspeed Venture Partners",7,37.7879363,-122.4075201
10049,OYO Rooms,10000000000,2012-01-01,2018-09-25,Travel,Gurugram,India,Asia,3000000000,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",6,28.4646148,77.0299194
10050,OutSystems,10000000000,2001-01-01,2018-06-05,Internet software & services,Boston,United States,North America,572000000,"KKR, ES Ventures, North Bridge Growth Equity",17,42.3588336,-71.0578303
10051,ServiceTitan,10000000000,2012-01-01,2018-11-14,Internet software & services,Glendale,United States,North America,1000000000,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",6,34.1469416,-118.2478471
10052,Alchemy,10000000000,2017-01-01,2021-10-28,Fintech,San Francisco,United States,North America,564000000,"DFJ Growth Fund, Coatue Management, Addition",4,37.7879363,-122.4075201
10053,Chehaoduo,10000000000,2015-01-01,2016-03-12,E-commerce & direct-to-consumer,Beijing,China,Asia,4000000000,"Sequoia Capital China, GX Capital",1,40.190632,116.412144
10054,Digital Currency Group,10000000000,2015-01-01,2021-11-01,Fintech,New York,United States,North America,1000000000,"Ribbit Capital, capitalG, Softbank Group",6,40.7127281,-74.0060152
10055,Figma,10000000000,2012-01-01,2020-04-30,Internet software & services,San Francisco,United States,North America,333000000,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",8,37.7879363,-122.4075201
10056,Gusto,10000000000,2011-01-01,2015-12-18,Fintech,San Francisco,United States,North America,691000000,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",4,37.7879363,-122.4075201
10057,Lalamove,10000000000,2013-01-01,2019-02-21,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2000000000,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",6,22.33719,114.153727
10058,Notion Labs,10000000000,2016-01-01,2020-04-01,Internet software & services,San Francisco,United States,North America,343000000,"Index Ventures, Draft Ventures, Felicis Ventures",4,37.7879363,-122.4075201
10059,reddit,10000000000,2005-01-01,2017-07-31,Internet software & services,San Francisco,United States,North America,1000000000,"Y Combinator, Sequoia Capital, Coatue Management",12,37.7879363,-122.4075201
10060,Talkdesk,10000000000,2011-01-01,2018-10-03,Internet software & services,San Francisco,United States,North America,497000000,"DJF, Salesforce Ventures, Storm Ventures",7,37.7879363,-122.4075201
10061,Thrasio,10000000000,2018-01-01,2020-07-15,Other,Walpole,United States,North America,2000000000,"Upper90, RiverPark Ventures, Advent International",2,43.0794881,-72.4259454
10062,Dunamu,9000000000,2012-01-01,2021-07-22,Fintech,Seoul,South Korea,Asia,71000000,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities",9,37.5666791,126.9782914
10063,Yanolja,9000000000,2005-01-01,2019-06-10,Travel,Seoul,South Korea,Asia,2000000000,"SBI Investment Korea, Partners Investment, GIC",14,37.5666791,126.9782914
10064,Pony.ai,9000000000,2016-01-01,2018-07-11,Artificial intelligence,Fremont,United States,North America,1000000000,"Sequoia Capital China, IDG Capital, DCM Ventures",2,37.5482697,-121.988571
10065,Nuro,9000000000,2016-01-01,2019-02-11,Auto & transportation,Mountain View,United States,North America,2000000000,"SoftBank Group, Greylock Partners, Gaorong Capital",3,37.3893889,-122.0832101
10066,Snyk,9000000000,2015-01-01,2020-01-21,Cybersecurity,Boston,United States,North America,1000000000,"BOLDstart Ventures, Google Ventures, Accel",5,42.3588336,-71.0578303
10067,Kavak,9000000000,2016-01-01,2020-10-01,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2000000000,"DST Global, SoftBank Group, Mountain Nazca",4,19.2858544,-99.5121767
10068,N26,9000000000,2013-01-01,2019-01-10,Fintech,Berlin,Germany,Europe,2000000000,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",6,52.5173885,13.3951309
10069,Klaviyo,9000000000,2012-01-01,2020-11-17,Internet software & services,Boston,United States,North America,679000000,"Summit Partners, Accel, Astral Capital",8,42.3588336,-71.0578303
10070,Niantic,9000000000,2015-01-01,2017-11-24,Mobile & telecommunications,San Francisco,United States,North America,770000000,"Nintendo, Google, Pokemon Company International, Spark Capital",2,37.7879363,-122.4075201
10071,Tanium,9000000000,2007-01-01,2015-03-31,Cybersecurity,Kirkland,United States,North America,775000000,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",8,47.6765382,-122.2070775
10072,Dream11,8000000000,2007-01-01,2019-04-09,Internet software & services,Mumbai,India,Asia,2000000000,"Kaalari Capital, Tencent Holdings, Steadview Capital",12,19.054999,72.8692035
10073,DJI Innovations,8000000000,2006-01-01,2015-01-23,Hardware,Shenzhen,China,Asia,105000000,"Accel Partners, Sequoia Capital",9,22.5445741,114.0545429
10074,Netskope,8000000000,2012-01-01,2018-11-13,Cybersecurity,Santa Clara,United States,North America,1000000000,"Lightspeed Venture Partners, Social Capital, Accel",6,37.3541132,-121.955174
10075,Razorpay,8000000000,2013-01-01,2020-10-11,Fintech,Bengaluru,India,Asia,742000000,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",7,12.9767936,77.590082
10076,Dapper Labs,8000000000,2018-01-01,2021-03-30,Fintech,Vancouver,Canada,North America,607000000,"Union Square Ventures, Venrock, Andreessen Horowitz",3,49.2608724,-123.113952
10077,Lacework,8000000000,2015-01-01,2021-01-07,Cybersecurity,San Jose,United States,North America,2000000000,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",6,37.3361663,-121.890591
10078,Tipalti,8000000000,2010-01-01,2020-10-06,Fintech,San Mateo,United States,North America,549000000,"01 Advisors, Zeev Ventures, Group 11",10,37.496904,-122.3330573
10079,Hopin,8000000000,2019-01-01,2020-11-10,Internet software & services,London,United Kingdom,Europe,1000000000,"Accel, Northzone Ventures, Institutional Venture Partners",1,51.5074456,-0.1277653
10080,Caris Life Sciences,8000000000,1996-01-01,2021-05-12,Health,Irving,United States,North America,1000000000,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",25,32.8295183,-96.9442177
10081,Ramp,8000000000,2019-01-01,2021-03-29,Fintech,New York,United States,North America,660000000,"D1 Capital Partners, Stripe, Coatue Management",2,40.7127281,-74.0060152
10082,Tempus,8000000000,2015-01-01,2018-03-21,Health,Chicago,United States,North America,820000000,"New Enterprise Associates, T. Rowe Associates, Lightbank",3,41.8755616,-87.6244212
10083,Fireblocks,8000000000,2018-01-01,2021-07-27,Fintech,New York,United States,North America,1000000000,"Tenaya Capital, Coatue Management, Stripes Group",3,40.7127281,-74.0060152
10084,Flexport,8000000000,2013-01-01,2018-04-30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2000000000,"Bloomberg Beta, Founders Fund, First Round Capital",5,37.7879363,-122.4075201
10085,National Stock Exchange of India,7000000000,1998-01-01,2020-07-01,Fintech,Mumbai,India,Asia,297000000,"TA Associates, SoftBank Group, GS Growth",22,19.054999,72.8692035
10086,Meicai,7000000000,2014-01-01,2016-06-22,Mobile & telecommunications,Beijing,China,Asia,1000000000,"Tiger Global Management, Blue Lake Capital, ZhenFund",2,40.190632,116.412144
10087,Impossible Foods,7000000000,2011-01-01,2019-05-13,Consumer & retail,Redwood City,United States,North America,2000000000,"Khosla Ventures, Horizons Ventures, Temasek Holdings",8,37.4863239,-122.232523
10088,CRED,7000000000,2018-01-01,2021-04-06,Fintech,Bengaluru,India,Asia,922000000,"Tiger Global Management, DST Global, Sequoia Capital India",3,12.9767936,77.590082
